,Domain,Theme,Subtheme,Validity
0,Lawn Trimmers,Warranty,Warranty Duration,Y
1,Lawn Trimmers,Warranty,Warranty Coverage,Y
2,Lawn Trimmers,Warranty,Warranty Reliability,Y
3,Lawn Trimmers,Warranty,Reliability,Y
4,Lawn Trimmers,Warranty,Warranty Terms,Y
5,Lawn Trimmers,Storage,Storage Ease,Y
6,Lawn Trimmers,Storage,Storage Safety,Y
7,Lawn Trimmers,Storage,Usage Area,Y
8,Lawn Trimmers,Storage,Space Utilization,Y
9,Lawn Trimmers,Storage,Storage Requirements,Y
10,Lawn Trimmers,Storage,Portability Issues,Y
11,Lawn Trimmers,Pricing,Price Perception,Y
12,Lawn Trimmers,Pricing,Readily Available,Y
13,Lawn Trimmers,Pricing,Favorable comparison,Y
14,Lawn Trimmers,Pricing,Pricing Feedback,Y
15,Lawn Trimmers,Pricing,Product Pricing,Y
16,Lawn Trimmers,Pricing,Satisfaction with Price,Y
17,Lawn Trimmers,Pricing,Comparative analysis,Y
18,Lawn Trimmers,Pricing,Pricing & Bundling,Y
19,Lawn Trimmers,Pricing,Value for Money,Y
20,Lawn Trimmers,Pricing,High Cost,Y
21,Lawn Trimmers,Automatic Features,Self-winding feature,Y
22,Lawn Trimmers,Automatic Features,Auto-Feeder Performance,Y
23,Lawn Trimmers,Automatic Features,Auto Wind Functionality,Y
24,Lawn Trimmers,Automatic Features,Auto-feed Functionality,Y
25,Lawn Trimmers,Automatic Features,Game-changing feature,Y
26,Lawn Trimmers,Automatic Features,Auto-load Functionality,Y
27,Lawn Trimmers,Automatic Features,Automatic Shutdown Feature,Y
28,Lawn Trimmers,Customer Service,Quality Customer Service,Y
29,Lawn Trimmers,Customer Service,Unresponsive Support Team,Y
30,Lawn Trimmers,Customer Service,Customer Service Interaction,Y
31,Lawn Trimmers,Customer Service,Customer Service Delay,Y
32,Lawn Trimmers,Customer Service,Customer Service Responsiveness,Y
33,Lawn Trimmers,Customer Service,Customer support concern,Y
34,Lawn Trimmers,Customer Service,Customer Service Follow-up,Y
35,Lawn Trimmers,Customer Service,Online Availability,Y
36,Lawn Trimmers,Customer Service,Professional Support Availability,Y
37,Lawn Trimmers,Customer Service,Seller Responsiveness,Y
38,Lawn Trimmers,Customer Service,Availability,Y
39,Lawn Trimmers,Customer Service,Digital Support,Y
40,Lawn Trimmers,Customer Service,Local Service Availability,Y
41,Lawn Trimmers,Handling and Control,Vibration Management,Y
42,Lawn Trimmers,Handling and Control,Handle Balance,Y
43,Lawn Trimmers,Handling and Control,Ease of Control,Y
44,Lawn Trimmers,Handling and Control,Handling Ease,Y
45,Lawn Trimmers,Handling and Control,Kickback Control,Y
46,Lawn Trimmers,Handling and Control,Tool Balance,Y
47,Lawn Trimmers,Handling and Control,Design Appreciation,Y
48,Lawn Trimmers,Handling and Control,Balanced Design,Y
49,Lawn Trimmers,Handling and Control,Ease of Removal,Y
50,Lawn Trimmers,Handling and Control,Design Specificity,Y
51,Lawn Trimmers,Handling and Control,Product Balance,Y
52,Lawn Trimmers,Handling and Control,Lightweight Design,Y
53,Lawn Trimmers,Handling and Control,Switching Experience,Y
54,Water Pitchers,Build Quality,Material Quality,Y
55,Water Pitchers,Build Quality,Spout Size,Y
56,Water Pitchers,Build Quality,Construction Quality,Y
57,Water Pitchers,Build Quality,Build Quality Concerns,Y
58,Water Pitchers,Build Quality,Material Quality Concerns,Y
59,Water Pitchers,Build Quality,Plastic Quality,Y
60,Water Pitchers,Build Quality,Refilling Difficulty,Y
61,Water Pitchers,Return Experience,Return Policy,Y
62,Water Pitchers,Return Experience,Purchase Experience,Y
63,Water Pitchers,Return Experience,Return Process Complexity,Y
64,Water Pitchers,Return Experience,Product Exchange Experience,Y
65,Water Pitchers,Return Experience,Product Return Experience,Y
66,Water Pitchers,Return Experience,Product Search Experience,Y
67,Water Pitchers,Return Experience,Refund Experience,Y
68,Water Pitchers,Return Experience,Return Policy Issues,Y
69,Water Pitchers,Odor Concerns,Water Odor Issues,Y
70,Water Pitchers,Odor Concerns,Odor Absorption Capability,Y
71,Water Pitchers,Odor Concerns,Odor Quality,Y
72,Water Pitchers,Odor Concerns,Odor Improvement,Y
73,Water Pitchers,Odor Concerns,Vulnerability to Odors,Y
74,Water Pitchers,Odor Concerns,Odor Issue,Y
75,Water Pitchers,Odor Concerns,Odor Resistance,Y
76,Water Pitchers,Odor Concerns,Clear Appearance,Y
77,Water Pitchers,Odor Concerns,Sulfur Odor Problems,Y
78,Water Pitchers,Odor Concerns,Water Odor Problems,Y
79,Water Pitchers,Odor Concerns,Flouride Content,Y
80,Water Pitchers,Odor Concerns,Water Smell,Y
81,Water Pitchers,Product Dimensions,Size Convenience,Y
82,Water Pitchers,Product Dimensions,Product Size,Y
83,Water Pitchers,Product Dimensions,Design Flaws,Y
84,Water Pitchers,Product Dimensions,Capacity Preferences,Y
85,Water Pitchers,Product Dimensions,Space Efficiency of Product,Y
86,Water Pitchers,Product Dimensions,Pitcher Size Issues,Y
87,Water Pitchers,Product Dimensions,Hard Water Handling,Y
88,Water Pitchers,Product Dimensions,Capacity Adequacy,Y
89,Water Pitchers,Product Dimensions,Capacity Limitations,Y
90,Water Pitchers,Product Dimensions,Pitcher Capacity Limitations,Y
91,Water Pitchers,Product Dimensions,High Volume Capacity,Y
92,Water Pitchers,Product Dimensions,Handle Comfort,Y
93,Water Pitchers,Product Dimensions,Capacity in Gallons,Y
94,Water Pitchers,Product Dimensions,Reservoir Size Issues,Y
95,Water Pitchers,Delivery Experience,Initial Setup Confusion,Y
96,Water Pitchers,Delivery Experience,Delivery Speed,Y
97,Water Pitchers,Delivery Experience,Fitment Issues,Y
98,Water Pitchers,Delivery Experience,Assembly Difficulty,Y
99,Water Pitchers,Delivery Experience,Delivery Condition,Y
100,Water Pitchers,Delivery Experience,Delivery and Setup Time,Y
101,Water Pitchers,Delivery Experience,Order Fulfillment Error,Y
